"cql",my,blacklab,speed
"[word='一边'][]{1,5}[word='一边']",15,14.2,False
"[word='不是'][]{1,5}[word='而是']",15,15.75,True
"[word='不但'][]{1,5}[word='而且']",15,17.444444444444443,True
"[word='和平'][word='共处']",15,15.625,True
"[word='和平共处']",15,16,True
"[word='文档']",15,15.666666666666666,True
"[word='拆分']",15,15.6,True
"[word='拭目以待']",15,15.666666666666666,True
"[word='层面']",20.818181818181817,16.625,False
"[word='喜欢'|xpos='VV'][word='运动']",41.90909090909091,192.8181818181818,True
"[word='编辑'&xpos='VV']",15,46.90909090909091,True
"[word='烟雾']",9,16.2,True
"[word='美食']",9.2,15.666666666666666,True
"[word='一体']",12.454545454545455,15.571428571428571,True
"[word='美景']",10,15.6,True
"[word='美不胜收']",7,15.6,True
"[word='历时']",14.25,15.571428571428571,True
"[word='白相节']",15,15.5,True
"[word='展开'][word='对决']",15,15.5,True
"[word='热闹'][word='非凡']",15,15.625,True
"[word='棉花糖']",15,15.5,True
"[word='糖葫芦']",15,15.75,True
"[word='热气'][word='腾腾']",15,15.714285714285714,True
"[word='取悦']",15,15.6,True
"[word='固然'][word='可以']",26.636363636363637,17.857142857142858,False
"[word='制造业']",19.818181818181817,15.571428571428571,False
"[word='安居乐业'&xpos='VV']",10,45.54545454545455,True
"[word='导向']",17.636363636363637,16.125,False
"[word='广西']",16.90909090909091,16.142857142857142,False
"[word='加上']",11,19.5,True
"[word='关心']",15.363636363636363,15.125,False
"[word='而且'&xpos='AD']",38.36363636363637,30.90909090909091,False
"[word='人物']",17,16.714285714285715,False
"[word='巩固']",15.090909090909092,15.714285714285714,True
"[word='准确']",15,16.428571428571427,True
"[word='特大'&xpos='JJ']",8.5,17,True
"[word='违规']",15,18.5,True
"[word='榜样']",12,16.5,True
"[word='工商界']",15,15.5,True
"[word='予以'&xpos='VV']",15,49.72727272727273,True
"[word='跋涉']",15,13.166666666666666,False
"[word='拉扎克']",10.333333333333334,15.333333333333334,True
"[word='曾经']",18,15.714285714285714,False
"[word='相对']",18.454545454545453,15.571428571428571,False
"[word='稳妥']",15.333333333333334,15.166666666666666,False
"[word='综艺馆']",15,15.75,True
"[word='大熊猫'&xpos='NN']",14,71.27272727272727,True
"[word='思想史']",15,15.666666666666666,True
"[word='交易会']",15,15.5,True
"[word='根治']",15,15.666666666666666,True
"[word='龙舟节']",7,15.666666666666666,True
"[word='大势'&xpos='NN']",11,84.27272727272727,True
"[word='战役']",20.818181818181817,15.666666666666666,False
"[word='单位'&xpos='NN']",80.27272727272727,90.9090909090909,True
"[word='使馆']",11.25,15.666666666666666,True
"[word='报时']",15,15.75,True
"[word='美好']",19.363636363636363,16.125,False
"[word='美术']",15,16.833333333333332,True
"[word='美育']",15,15.6,True
"[word='论述']",15,15.714285714285714,True
"[word='读到']",15,15.6,True
"[word='尽可能']",15.6,15,False
"[word='整改']",16.727272727272727,17.857142857142858,True
"[word='感到']",15,15.571428571428571,True
"[word='假冒']",15,15.5,True
"[word='材料']",19.363636363636363,16.625,False
"[word='开创'&xpos='VV']",15,46.81818181818182,True
"[word='权力'&xpos='NN']",33.72727272727273,86,True
"[word='网点']",15,15.8,True
"[word='亿元']",15,15.6,True
"[word='大小']",15,15.666666666666666,True
"[word='回国']",15,15.5,True
"[word='学堂']",3.3333333333333335,15.666666666666666,True
"[word='区域'&xpos='NN']",57.09090909090909,88.9090909090909,True
"[word='共享']",16,17,True
"[word='非亲非故']",7.5,15.666666666666666,True
"[word='装箱']",15,15.6,True
"[word='实验']",15,16,True
"[word='题材']",15,16,True
"[word='病人']",15,15.714285714285714,True
"[word='气候'&pos='NN']",21.454545454545453,15.5,False
"[word='抗议']",9.25,15.666666666666666,True
"[word='出生']",15,14.5,False
"[word='发往']",4.333333333333333,15.6,True
"[word='公交'&pos='NN']",13,15.5,True
"[word='用户']",21.363636363636363,17.75,False
"[word='院团'&pos='NN']",8.666666666666666,9.5,True
"[word='一切']",23.727272727272727,17.857142857142858,False
"[word='独特']",15,17.857142857142858,True
"[word='家门']",15,15.666666666666666,True
"[word='精神科']",15,15.6,True
"[word='领土']",15,14.714285714285714,False
"[word='大意不得']",15,15.666666666666666,True
"[word='圣保罗州']",15,15.6,True
"[word='遗产'&pos='NN']",15.090909090909092,15.5,True
"[word='茨威格']",15,15.6,True
"[word='外交部']",15.142857142857142,17.857142857142858,True
"[word='难产']",15,15.6,True
"[word='纳入'&pos='VV']",22.272727272727273,15.5,False
"[word='充满']",20.363636363636363,17.857142857142858,False
"[word='世界杯']",9.4,19.142857142857142,True
"[word='放权']",15.222222222222221,17.857142857142858,True
"[word='打井'&pos='VV']",15,16,True
"[word='埃镑']",15,15.6,True
"[word='暗沙']",15,15.666666666666666,True
"[word='上海市']",15,15.571428571428571,True
"[word='神州']",9.5,15.6,True
"[word='转移']",22.272727272727273,17.625,False
"[word='经费'&pos='NN']",16.727272727272727,16,False
"[word='虚拟']",14.75,15.5,True
"[word='陀螺']",15.5,15.6,True
"[word='国家队'&pos='NN']",15,16,True
"[word='质疑']",15,15.25,True
"[word='促进会']",15,15.8,True
"[word='扎根']",15,15.666666666666666,True
"[word='冻雨']",15,15.5,True
"[word='超配']",15,16,True
"[word='品格']",15,15.5,True
"[word='排查'&pos='NN']",15,15.5,True
"[word='揭牌']",15,15.666666666666666,True
"[word='学科']",15,17.428571428571427,True
"[word='至上']",15,15.666666666666666,True
"[word='房地产']",9.4,15.571428571428571,True
"[word='技能']",13.8,15,True
"[word='宪法']",19.454545454545453,15.625,False
"[word='理清'&pos='VV']",15,16,True
"[word='航行']",15,15.5,True
"[word='高考']",15,19.285714285714285,True
"[word='读完']",15,12.333333333333334,False
"[word='懈怠']",15,15.6,True
"[word='西班牙']",15,15.571428571428571,True
"[word='税务']",12.5,17.857142857142858,True
"[word='波罗']",8.333333333333334,15.833333333333334,True
"[word='对抗'&pos='NN']",10.857142857142858,15.5,True
"[word='座谈会']",15.545454545454545,15.857142857142858,True
"[word='拐杖']",10.333333333333334,7.818181818181818,False
"[word='少数']",18.545454545454547,18,False
"[word='异地']",10.2,15.666666666666666,True
"[word='当选']",9.625,16.833333333333332,True
"[word='分子']",16.545454545454547,17.857142857142858,True
"[word='迅速']",19.363636363636363,15.5,False
"[word='自负']",7.5,15.6,True
"[word='导引']",15,15.6,True
"[word='多亏'&pos='VV']",15,16,True
"[word='政权']",15.2,15.6,True
"[word='无数']",15,18.166666666666668,True
"[word='记录']",16.90909090909091,15.571428571428571,False
"[word='员工']",15.272727272727273,15.571428571428571,True
"[word='礼赞']",15,15.6,True
"[word='亲戚']",15,15.666666666666666,True
"[word='品种']",13.5,15.571428571428571,True
"[word='盖棺']",6.666666666666667,15.666666666666666,True
"[word='搜索']",15,15.5,True
"[word='不利于']",15,14.833333333333334,False
"[word='标准煤']",13.727272727272727,15.6,True
"[word='无暇']",15,15.666666666666666,True
"[word='嘿客']",15,15.6,True
"[word='人民币'&pos='NN']",22.272727272727273,15.5,False
"[word='规律性']",15,15.6,True
"[word='一线']",15,22,True
"[word='梅西']",7.75,15.666666666666666,True
"[word='成石']",15,11,False
"[word='炒作']",15,15.8,True
"[word='转化'&pos='VV']",15.545454545454545,15.5,False
"[word='缺口']",10.333333333333334,14,True
"[word='磐石']",7.75,15.6,True
"[word='单独']",15.4,16.333333333333332,True
"[word='常委']",16.818181818181817,17.857142857142858,True
"[word='第十二']",10.11111111111111,15.571428571428571,True
"[word='位于'&pos='VV']",11.8,16,True
"[word='瑞士队']",15,15.8,True
"[word='解体']",15,15.6,True
"[word='边境线']",15,15.6,True
"[word='动用']",9,15.5,True
"[word='欲望'&pos='NN']",9.2,15.5,True
"[word='立场']",12.181818181818182,19.333333333333332,True
"[word='标志']",15.090909090909092,15.714285714285714,True
"[word='共处']",9.5,15.714285714285714,True
"[word='主管'&pos='NN']",13.636363636363637,15.5,True
"[word='舌战']",8,15.5,True
"[word='圣保罗']",10,15.666666666666666,True
"[word='人民网']",6.285714285714286,15.666666666666666,True
"[word='债券']",10.142857142857142,17.857142857142858,True
"[word='抹黑']",12.666666666666666,15.6,True
"[word='即逝']",7.5,15.6,True
"[word='潮流']",14.666666666666666,15.571428571428571,True
"[word='麦积山石窟']",15,15.6,True
"[word='极端主义'&pos='NN']",9.2,16,True
"[word='预算']",21.636363636363637,15.625,False
"[word='假币']",15,15.8,True
"[word='田禾'&pos='NR']",15,15,False
"[word='打通']",11,15.666666666666666,True
"[word='卡西罗拉']",7.5,16,True
"[word='爱国']",13.11111111111111,15.571428571428571,True
"[word='县委']",15.090909090909092,14.571428571428571,False
"[word='新建']",15,17.285714285714285,True
"[word='重新']",16,15.714285714285714,False
"[word='人生'&pos='NN']",23.545454545454547,16,False
"[word='奖励']",9.545454545454545,15.571428571428571,True
"[word='农场']",9.5,15.125,True
"[word='接收']",9.166666666666666,18.8,True
"[word='公民']",19.818181818181817,15.571428571428571,False
"[word='庞大']",15,16.166666666666668,True
"[word='一把手'&pos='NN']",15,16,True
"[word='队员']",12.2,16.5,True
"[word='前提']",15.090909090909092,17.571428571428573,True
"[word='市民']",22.272727272727273,15.571428571428571,False
"[word='调控']",13.636363636363637,17.857142857142858,True
"[word='这边'&pos='PN']",6,16,True
"[word='零食'&pos='NN']",15,15.5,True
"[word='借鉴']",12.363636363636363,16.5,True
"[word='影视']",10.2,15.666666666666666,True
"[word='克罗地亚']",10,15.6,True
"[word='焦点']",15,15.142857142857142,True
"[word='二氧化碳'&pos='NN']",15,15.5,True
"[word='处处']",15,16.6,True
"[word='分行']",13,15.714285714285714,True
"[word='冷漠']",9,15.6,True
"[word='换药']",8,15.6,True
"[word='事实'&pos='NN']",17.818181818181817,15.5,False
"[word='护航']",9,16.5,True
"[word='国内外']",14.714285714285714,15.571428571428571,True
"[word='逻辑']",15.166666666666666,15.571428571428571,True
"[word='宏观']",15,13.4,False
"[word='常山']",15,15.6,True
"[word='联体']",15,10.555555555555555,False
"[word='气馁']",8,8.8,True
"[word='踏进']",10.333333333333334,8.181818181818182,False
"[word='替代']",9.11111111111111,8.818181818181818,False
"[word='机场'&pos='NN']",15.3,10.666666666666666,False
"[word='年满']",10.333333333333334,8.727272727272727,False
"[word='触景生情']",7.5,6.454545454545454,False
"[word='马云']",15,15.666666666666666,True
"[word='批评']",16.363636363636363,15.571428571428571,False
"[word='机器人']",10.333333333333334,15.428571428571429,True
"[word='生长']",15,10.5,False
"[word='足以'&pos='VV']",9.625,16,True
"[word='火电厂']",10.5,13,True
"[word='勉励']",10.333333333333334,13.571428571428571,True
"[word='汉字']",9,12.222222222222221,True
"[word='内阁'&pos='NN']",10,10.333333333333334,True
"[word='自治州']",8.857142857142858,16.5,True
"[word='正常']",17.363636363636363,13.222222222222221,False
"[word='免去']",9,11,True
"[word='赋予']",15,18,True
"[word='务实'&pos='NN']",22.272727272727273,15.5,False
"[word='铺设']",15,15.666666666666666,True
"[word='竣工']",15.333333333333334,15.666666666666666,True
"[word='山东']",16.818181818181817,15.571428571428571,False
"[word='身处']",10.2,13.833333333333334,True
"[word='感恩心']",15,15.666666666666666,True
"[word='陪伴']",15,15.666666666666666,True
"[word='翻炒']",15,15.75,True
"[word='领空']",15,15.6,True
"[word='冰封']",15,15.666666666666666,True
"[word='李朴民']",8.333333333333334,15.6,True
"[word='土出']",17.545454545454547,15.5,False
"[word='观念'&pos='NN']",22.545454545454547,15.5,False
"[word='警示']",15,15.666666666666666,True
"[word='斗争']",15,16.857142857142858,True
"[word='本色']",9.2,15.666666666666666,True
"[word='判处'&pos='VV']",7.428571428571429,7,False
"[word='担负']",8.166666666666666,15.571428571428571,True
"[word='通知']",18.363636363636363,18.857142857142858,True
"[word='做事']",12.4,15.5,True
"[word='湖泊']",10.75,15.666666666666666,True
"[word='人选'&pos='NN']",9,15.5,True
"[word='寄托']",11.5,15.5,True
"[word='一块']",15,15.6,True
"[word='想象力'&pos='NN']",9.2,16,True
"[word='接近']",14.714285714285714,18,True
"[word='含量']",12.2,15.5,True
"[word='变形'&pos='VV']",13,16,True
"[word='党校']",15.2,15.714285714285714,True
"[word='组成']",25.181818181818183,16.875,False
"[word='送去']",15,15.6,True
"[word='臭气熏天']",15,15.6,True
"[word='涅姆采夫']",10,15.666666666666666,True
"[word='定期']",12,15.571428571428571,True
"[word='先生'&pos='NN']",17.454545454545453,16,False
"[word='排污']",14.25,15.666666666666666,True
"[word='提到'&pos='VV']",15,15,False
"[word='伯格']",15,15.6,True
"[word='自我']",22.272727272727273,17.428571428571427,False
"[word='放眼'&pos='VV']",15,16,True
"[word='公积金']",15,13.428571428571429,False
"[word='全局'&pos='NN']",15,10.333333333333334,False
"[word='老百姓']",17.90909090909091,13.11111111111111,False
"[word='搭建']",15,12,False
"[word='临时']",15.5,10.363636363636363,False
"[word='私人']",14.8,10.090909090909092,False
"[word='终于']",15.1,10.727272727272727,False
"[word='风雨']",11.25,8.454545454545455,False
"[word='沿着']",9.625,8.818181818181818,False
"[word='闽江']",7,7.454545454545454,True
"[word='否则']",9.625,10.272727272727273,True
"[word='出发']",15.090909090909092,10.454545454545455,False
"[word='国防']",15.272727272727273,10.363636363636363,False
"[word='团体']",13.555555555555555,9.818181818181818,False
"[word='电力']",15,10.181818181818182,False
"[word='楼市']",10.25,8.454545454545455,False
"[word='母亲']",15.3,10.272727272727273,False
"[word='大多']",13.666666666666666,9.272727272727273,False
"[word='至少']",15.090909090909092,10.272727272727273,False
"[word='广铁']",7.5,8,True
"[word='老李']",6.333333333333333,8.454545454545455,True
"[word='纽约']",10.5,10.454545454545455,False
"[word='身边']",15,11.727272727272727,False
"[word='赖明']",10.333333333333334,7.909090909090909,False
"[word='处分']",15,10.090909090909092,False
"[word='危害']",13,11.272727272727273,False
"[word='修改']",16.454545454545453,11.181818181818182,False
"[word='流动']",15,10.272727272727273,False
"[word='阻力']",7.75,8.818181818181818,True
"[word='动员会']",7.5,7.636363636363637,True
"[word='街道']",14.818181818181818,10.727272727272727,False
"[word='污染物']",13.142857142857142,9,False
"[word='中医院']",7,8.090909090909092,True
"[word='方便']",15.363636363636363,10.272727272727273,False
"[word='中小学']",12.2,9.181818181818182,False
"[word='马上']",11.375,9.727272727272727,False
"[word='走进']",15,10.909090909090908,False
"[word='天下']",15,10.909090909090908,False
"[word='外地']",9.714285714285714,8.727272727272727,False
"[word='的话']",9.636363636363637,9.363636363636363,False
"[word='财经']",10.2,8.363636363636363,False
"[word='通信']",12.727272727272727,10.363636363636363,False
"[word='多样']",11,10.272727272727273,False
"[word='上涨']",15,10.636363636363637,False
"[word='事关']",9.625,9.454545454545455,False
"[word='于是']",15,10.090909090909092,False
"[word='论文']",12.5,9.818181818181818,False
"[word='挑灯']",8,8.636363636363637,True
"[word='列出']",9.2,8,False
"[word='视点']",7.5,8,True
"[word='城区']",10.6,11.363636363636363,True
"[word='针对性']",12.636363636363637,10.636363636363637,False
"[word='整饬']",9,7.7272727272727275,False
"[word='低估']",8.333333333333334,7.636363636363637,False
"[word='洪流']",8.25,8,False
"[word='照料']",9.2,9.181818181818182,False
"[word='吃亏']",10,7.545454545454546,False
"[word='淡定']",6.333333333333333,7.818181818181818,True
"[word='即将']",11.181818181818182,10.636363636363637,False
"[word='非法']",15.272727272727273,10.454545454545455,False
"[word='胜任']",10.333333333333334,7.7272727272727275,False
"[word='武汉']",11.88888888888889,9.727272727272727,False
"[word='大连']",11.166666666666666,7.909090909090909,False
"[word='遭遇']",12.090909090909092,10.454545454545455,False
"[word='到位']",15.545454545454545,10.818181818181818,False
"[word='广东']",16.181818181818183,12.090909090909092,False
"[word='带头']",15,10.272727272727273,False
"[word='出神']",8,5.454545454545454,False
"[word='助教']",10,7.636363636363637,False
"[word='注册']",16.454545454545453,11.727272727272727,False
"[word='能量']",13,10.181818181818182,False
"[word='河道']",10,9.181818181818182,False
"[word='精美']",7.75,8.181818181818182,True
"[word='尴尬']",9.142857142857142,8.636363636363637,False
"[word='随之']",11,8.727272727272727,False
"[word='涉农']",9.2,8.363636363636363,False
"[word='实事求是']",10.333333333333334,9.090909090909092,False
"[word='中意']",10.333333333333334,8,False
"[word='爆炸']",10.222222222222221,9.181818181818182,False
"[word='治疗']",15.454545454545455,10.363636363636363,False
"[word='牛鼻子']",6.571428571428571,8.090909090909092,True
"[word='雅致']",4.666666666666667,7.7272727272727275,True
"[word='推行']",14.090909090909092,10.363636363636363,False
"[word='贫民窟']",10.333333333333334,7.636363636363637,False
"[word='赌球']",8,6.909090909090909,False
"[word='查实']",7.666666666666667,7.818181818181818,True
"[word='引进']",13.909090909090908,10.636363636363637,False
"[word='同事']",9.375,9.818181818181818,True
"[word='保质期']",7.5,7.7272727272727275,True
"[word='人家']",11.333333333333334,9.272727272727273,False
"[word='唯一']",14.727272727272727,10.636363636363637,False
"[word='车尔尼雪夫斯基']",9.625,7,False
"[word='袭击']",11.88888888888889,9.727272727272727,False
"[word='仅仅']",15,10.272727272727273,False
"[word='停电']",7.75,7.636363636363637,False
"[word='承诺书']",7.5,7.7272727272727275,True
"[word='延误']",7.75,8.363636363636363,True
"[word='权法']",10.222222222222221,8,False
"[word='议题']",12.857142857142858,10.636363636363637,False
"[word='半拍']",8,7.636363636363637,False
"[word='回去']",8.5,8.636363636363637,True
"[word='声称']",7.666666666666667,7.2727272727272725,False
"[word='关切']",11.5,9.454545454545455,False
"[word='第四']",16.545454545454547,11.181818181818182,False
"[word='通道']",15,11.636363636363637,False
"[word='新加坡']",14.88888888888889,11.818181818181818,False
"[word='否定']",11.5,8.818181818181818,False
"[word='树林']",7.75,7.818181818181818,True
"[word='外媒']",7.5,7.454545454545454,False
"[word='驻地']",7.75,8.181818181818182,True
"[word='畅通']",10.75,9.272727272727273,False
"[word='土壤']",15,10.181818181818182,False
"[word='泰国']",12.6,10.545454545454545,False
"[word='下午']",15.090909090909092,10.727272727272727,False
"[word='董事长']",15,10.636363636363637,False
"[word='流转']",15,10.545454545454545,False
"[word='体量']",10,8.181818181818182,False
"[word='总额']",13.875,9.545454545454545,False
"[word='自行车']",8.125,8.818181818181818,True
"[word='及时性']",9.5,8.272727272727273,False
"[word='公约']",9.375,9,False
"[word='内涵']",15.363636363636363,12.181818181818182,False
"[word='享有']",11.875,9.818181818181818,False
"[word='专利']",12.714285714285714,9.545454545454545,False
"[word='穿上']",9.25,8,False
"[word='化解']",14.727272727272727,10.727272727272727,False
"[word='江苏省']",10.75,9.272727272727273,False
"[word='确实']",11.909090909090908,10.545454545454545,False
"[word='农民工']",15,10.909090909090908,False
"[word='分配']",15,10.181818181818182,False
"[word='沿线']",15,10.818181818181818,False
"[word='支流']",7.5,8.181818181818182,True
"[word='策略']",9.714285714285714,8.636363636363637,False
"[word='老板']",11,8.272727272727273,False
"[word='证券']",15.4,10.363636363636363,False
"[word='第五']",15,10.272727272727273,False
"[word='企业家']",12.857142857142858,8.818181818181818,False
"[word='枫木湾']",2,2.727272727272727,True
"[word='兴军']",9.2,8.272727272727273,False
"[word='按说']",7.5,7.7272727272727275,True
"[word='主打']",8,8.090909090909092,True
"[word='境内']",10,10.090909090909092,True
"[word='停车位']",10,7.909090909090909,False
"[word='车道']",9,7.7272727272727275,False
"[word='洗浴']",7.5,7.818181818181818,True
"[word='连平']",7.5,7.818181818181818,True
"[word='沉吟']",9,8.272727272727273,False
"[word='软弱']",2.6,8,True
"[word='责任制']",7.2727272727272725,8.545454545454545,True
"[word='孔目']",1.6,3.8181818181818183,True
"[word='明辨'&pos='VV']",2.5454545454545454,2.727272727272727,True
"[word='呐喊']",9,7.545454545454546,False
"[word='围墙']",10,8,False
"[word='全程']",15,10.454545454545455,False
"[word='窘境']",7.25,7.545454545454546,True
"[word='回到']",13.090909090909092,12.090909090909092,False
"[word='呼吁']",15,10.090909090909092,False
"[word='店主']",7,8.363636363636363,True
"[word='立体']",9,8.090909090909092,False
"[word='避免']",20.181818181818183,13.545454545454545,False
"[word='攻击']",12.8,8.727272727272727,False
"[word='以外']",11.666666666666666,8.636363636363637,False
"[word='待遇']",12.181818181818182,10.272727272727273,False
"[word='信号']",10.5,8.909090909090908,False
"[word='稳步']",14.571428571428571,10,False
"[word='线索']",15,10.363636363636363,False
"[word='指挥']",11.818181818181818,11,False
"[word='家里']",12.222222222222221,10.090909090909092,False
"[word='广佛肇']",1.6363636363636365,5.7272727272727275,True
"[word='支出']",15,10.272727272727273,False
"[word='清洁']",15,11.181818181818182,False
"[word='供电']",15,10.090909090909092,False
"[word='娱乐']",15,10.363636363636363,False
"[word='当年']",16.454545454545453,12.181818181818182,False
"[word='手持']",5.8,8.272727272727273,True
"[word='抓住']",15,12.090909090909092,False
"[word='互动'&pos='NN']",14.727272727272727,15.5,True
"[word='反四']",17.272727272727273,15.6,False
"[word='会长']",15,15.571428571428571,True
"[word='回击']",15,15.6,True
"[word='煤炭']",15,15.571428571428571,True
"[word='十二']",15,17.833333333333332,True
"[word='先天性']",15,15.6,True
"[word='书写']",15,15.666666666666666,True
"[word='高效']",15,17.285714285714285,True
"[word='学者']",19.363636363636363,15.714285714285714,False
"[word='评估'&pos='NN']",17.90909090909091,15.5,False
"[word='三十四'&pos='CD']",15,15.5,True
"[word='刘昆']",15,15.6,True
"[word='寻找']",14.272727272727273,18.166666666666668,True
"[word='审理']",15,16.714285714285715,True
"[word='家破人亡']",15,15.6,True
"[word='日军']",15,15.714285714285714,True
"[word='物质']",16.454545454545453,17.857142857142858,True
"[word='说明']",16.454545454545453,16.25,False
"[word='拾柴'&pos='VV']",15,15.5,True
"[word='销售']",22.272727272727273,15.625,False
